Ativo,Preço Atual (R$),Valor Intrínseco (R$),Potencial de Valorização (%),Risco (%),Volume (M),Dividend Yield (%)
BOVA11,136.84,184.18,34.6,16.87,3.45,4.63
IVVB11,377.55,557.04,47.54,28.76,0.24,0.7
SMAL11,106.35,164.23,54.42,21.62,1.22,3.9
IMAB11,103.06,149.56,45.12,5.08,0.02,4.49
XBOV11,137.26,224.38,63.47,17.04,0.0,4.51
IBOVESPA,140109.62,173204.77,23.62,17.16,0.0,3.8
