Ativo,Acurácia (%),Risco (%),Potencial de Valorização (%),Margem de Segurança (%),Volume (M),Compra em,Venda em,Dividend Yield (%)
BOVA11,78.93,16.87,34.60,25.70,3.45,4 dias,8 dias,4.63
IVVB11,69.55,28.76,47.54,32.22,0.24,3 dias,6 dias,0.70
SMAL11,70.86,21.62,54.42,35.24,1.22,1 dias,6 dias,3.90
IMAB11,92.51,5.08,45.12,31.09,0.02,3 dias,9 dias,4.49
XBOV11,75.74,17.04,63.47,38.83,0.00,2 dias,8 dias,4.51
IBOVESPA,79.63,17.16,23.62,19.11,0.00,3 dias,5 dias,3.80
IFIX,56.19,42.65,50.75,33.67,1.65,4 dias,5 dias,4.77
