Ativo,Acurácia (%),Risco (%),Potencial de Valorização (%),Volume (M),Compra em,Venda em,Dividend Yield (%)
BOVA11,75.06,16.91,65.81,10.66,3 dias,5 dias,2.53
IVVB11,66.47,28.60,55.68,0.11,1 dias,7 dias,3.98
SMAL11,79.50,22.11,55.62,2.68,1 dias,9 dias,4.85
