Ativo,Preço Atual (R$),Valor Intrínseco (R$),Potencial de Valorização (%),Risco (%),Volume (M),Dividend Yield (%)
VALE3,55.35,82.73,49.46,27.38,10.44,1354.0
ITUB4,38.3,47.12,23.02,21.54,17.97,55.0
ABEV3,14.29,24.66,72.6,25.89,17.54,645.0
VALE3,55.35,82.73,49.46,27.38,10.44,1354.0
ITUB4,38.3,47.12,23.02,21.54,17.97,55.0
ABEV3,14.29,24.66,72.6,25.89,17.54,645.0
