Ativo,Acurácia (%),Risco (%),Potencial de Valorização (%),Margem de Segurança (%),Volume (M),Compra em,Venda em,Dividend Yield (%)
BOVA11,80.90,16.87,22.68,18.48,4.12,3 dias,9 dias,0.75
IVVB11,66.90,28.78,23.04,18.73,0.16,2 dias,7 dias,0.13
SMAL11,78.52,21.59,61.96,38.25,1.26,1 dias,9 dias,1.64
IMAB11,91.58,5.09,55.05,35.50,0.13,4 dias,8 dias,0.59
XBOV11,82.13,17.03,30.62,23.44,0.04,1 dias,7 dias,0.84
